name,technologies,topics
Accord Project,javascript |  react |  compiler |  ocaml |  coq,compilers |  ai |  legal |  smart contracts |  blockchain
52°North GmbH,python |  javascript |  java |  web services |  ogc standards,citizen science |  spatial information infrastructures |  open standards |  geoinformation systems
AFLplusplus,c/c++ |  llvm |  rust |  fuzzing |  instrumentation,fuzzing |  secure development |  instrumentation
AboutCode,python |  javascript |  django |  postgres,software composition analysis |  software packages |  scanning
AerospaceResearch.net,python |  machine learning |  sdr |  sqlite |  raspberry pi,space applications |  signal processing |  software defined radio |  cubesats |  simulations
AOSSIE,javascript |  android |  machine learning |  scala |  ios,machine learning |  electronic voting |  natural language processing |  social science
AnkiDroid,javascript |  android |  java |  gradle,education |  android |  user generated content |  flashcard
Android Graphics Tools Team,java |  opengl |  c++ |  spir-v |  webgpu,bug finding |  developer tools |  graphics |  fuzzing
Apertium,python |  javascript |  c++ |  xml |  bash,natural language processing |  machine translation |  less-resourced languages
ArduPilot,python |  linux |  c/c++ |  drones |  robotics,robotics |  embedded systems |  real-time |  drones |  vison
apertus° Association,linux |  c/c++ |  fpga |  vhdl |  embedded,computer vision |  camera |  image processing |  computational photography |  digital imaging
Audacity,c++,audio |  audio editor |  audio analysis |  audio processing
BeagleBoard.org Foundation,linux |  fpga |  arm |  risc-v |  dsp,robotics |  iot |  ai |  open hardware |  process automation
Bench-Routes,react |  golang |  docker,monitoring |  web |  devops |  time-series
Boost C++ Libraries,c++ |  c++11 |  c++14 |  c++17 |  c++20,algorithms |  image processing |  c++ |  data structures
Blender Foundation,c |  python |  opengl |  c++ |  vulkan,virtual reality |  graphics |  rendering |  3d tools |  3d animation
BRL-CAD,python |  c/c++ |  opengl |  opencl |  scripting,visualization |  geometry |  high performance computing |  2d/3d graphics |  ray tracing
CASTOR,java |  scala |  bytecode,testing |  software analysis |  optimization |  development |  automated program repair
caMicroscope,python |  javascript |  mongodb |  tensorflow |  medical imaging,machine learning |  distributed systems |  science and medicine |  data integration
Casbin,python |  javascript |  java |  nodejs |  golang,security |  web |  cloud
CCExtractor Development,c |  python |  rust |  flutter,video |  subtitles |  media |  bittorrent
CERN-HSF,python |  c/c++ |  data analysis |  concurrency |  container orchestration,machine learning |  performance optimization |  algorithmics |  particle physics |  big data science
"Center for Research in Open Source Software, UC Santa Cruz",c/c++ |  robotics |  c++17 |  ceph |  arrow,databases |  hardware |  storage |  sensors |  callibration
Ceph,python |  javascript |  c++ |  angular |  typescript,distributed systems |  storage
CGAL Project,c/c++ |  qt,geometry |  mesh processing |  computation geometry |  geometry processing
CHAOSS Project,python |  elk |  vue |  nltk |  fossology,metrics |  community |  analytics |  dependencies |  diversity and inclusion
Chapel,c |  python |  c++ |  chapel |  high performance computing,compilers |  programming languages |  distributed computing |  high performance computing |  parallel computing
Checkstyle,java |  antlr,static code analysis |  code review tool |  coding standards |  coding conventions
Chromium,python |  javascript |  java |  c++ |  git,web |  browser |  operating-system
CiviCRM LLC,mysql |  php |  angular,nonprofit |  crm
CircuitVerse.org,javascript |  machine learning |  rails |  canvas |  internationalization,education |  web |  simulations |  pedagogy |  digital logic design
Cilium,c |  linux |  go |  kubernetes |  ebpf,networking |  kernel |  cloud-native
CloudCV,python |  django |  docker |  angular |  aws,machine learning |  artificial intelligence |  computer vision |  deep learning |  reinforcement learning
CNCF,go |  rust |  kubernetes,cloud computing
Continuous Delivery Foundation,jenkins |  tekton |  spinnaker |  ortelius |  screwdriver.cd,developer tools |  continuous delivery |  great developer tooling
coala,django |  haskell |  python 3 |  docker |  antlr,devops |  static code analysis |  chat
CRIU,c |  python |  linux kernel,operating systems |  containers |  live migration |  checkpoint-restore
Dart,flutter |  dart |  programming-language,mobile apps
Cuneiform Digital Library Initiative (CDLI),python |  mysql |  javascript |  java |  php,digitization |  cultural heritage |  nlp
DBpedia,python |  javascript |  scala |  rdf |  sparql,data science |  natural language processing |  data analytics |  knowledge graphs |  data extraction
Debian,python |  javascript |  c/c++ |  git |  irc,operating systems |  packaging |  android-sdk |  clojure |  debian-ci
DeepPavlov,python |  tensorflow |  docker |  python deep learning frameworks |  pytorch,nlp |  conversational |  agent
"Department of Biomedical Informatics (BMI), Emory University School of Medicine",python |  java |  tensorflow |  medical imaging |  deeplearning,cloud |  distributed systems |  science and medicine |  data integration |  workflows
Digital Impact Alliance (DIAL) at UN Foundation,python |  linux |  javascript |  android |  many more,humanitarian |  nonprofit |  humanrights |  international |  global
Django Software Foundation,python |  django,web development
FFmpeg,c |  assembler,audio |  video |  subtitles |  multimedia |  images
Elm Tooling,functional programming |  typescript |  elm,web |  linter |  tooling |  parser
Fortran-lang,python |  c/c++ |  llvm |  compiler |  fortran,science |  engineering |  numerical computing |  libraries |  high-performance computing
FOSSology,python |  postgresql |  javascript |  c/c++ |  php,compliance |  licensing |  license management
FrameNet Brasil (UFJF),python |  mysql |  javascript |  php,natural language processing |  natural language understanding |  multilinguality |  multimodal communication
freifunk,python |  shell |  c/c++ |  json |  rust,embedded systems |  open hardware |  wireless networks |  decentralized |  federation
FreeType,c,graphics |  rendering |  fonts |  opentype |  truetype
Free and Open Source Silicon Foundation,verilog |  risc-v |  compiler |  web development |  jenkins,hardware |  debug |  web services |  simulation |  electronic design tools
FreeBSD Project,llvm |  assembly |  shell script |  make |  c/c+,virtualization |  operating systems |  embedded systems |  cloud |  kernel
Genome Assembly and Annotation,python |  mysql |  javascript |  rust |  pytorch,genomics |  data science |  cloud |  deep learning |  workflows
