name,technologies,topics,category
Internet Archive,pthon | javascript,web extensions | voice apps | web archiving,Web
Internet Systems Consortium,dhcp | c/c++ | mysql | cassandra | rest,networking | stateful | infrastructure | ipv6,Operating Systems
JBoss Community,java | android | ios | opentracing | apachekafka,testing | cloud | mobile development | javaee | microservices,Programming Languages and Development Tools
JdeRobot - Universidad Rey Juan Carlos,ros | python | c++ | gazebo | opencv,robotics | computer vision | robot simulator | teaching,Other
Jenkins project,java | groovy | javascript,devops | development tools | continuous integration,Programming Languages and Development Tools
JGraphT,java,graphs | algorithms | data structures | mathematics | network analysis,Programming Languages and Development Tools
Jitsi,java | javascript | webrtc | react | reactnative,real time communications | web | video conferencing | networking | multimedia,Social / Communications
Joomla!,php | javascript | mysql | html5/css3 | cms,web | web development | web applications | cms | object-oriented,Web
JSK Robotics Laboratory / The University of Tokyo,ros,robotics,Science and Medicine
KDE Community,qt | c/c++ | qml,applications | desktop environment,End User Applications
Kiwix,android | java | c++ | python | qt,offline | android,End User Applications
LabLua,lua | céu,programming languages,Programming Languages and Development Tools
languagetool.org,java | javascript | machinelearning | ai | tensorflow,artificial intelligence | language | edtech | education | nlp,End User Applications
LEAP Encryption Access Project,python | twisted | javascript | openvpn | gnupg,e2e | mail | vpn | encryption,End User Applications
LibreHealth,java | php | javascript | mysql | webcomponents, web apps | health | ictd | medicine | global health,Science and Medicine
LibreOffice,c++ | java | python,end user applications | office suite | desktop application | android,End User Applications
libvirt,hypervisor | kvm | xen | lxc,virtualization | virtual machine | container,Cloud
LLVM Compiler Infrastructure,llvm,compilers | compiler api,Programming Languages and Development Tools
LuaRocks,lua | linux | windows | unix | c,programming language | package manager,Programming Languages and Development Tools
MariaDB Foundation,mariadb | mysql | c | c++ | java,database | sql,Data and Databases
Matrix.org,golang | ios | android | python | react,real time communications | team chat | voip | instant messaging | decentralization,Social / Communications
MetaBrainz Foundation Inc.,python | perl | javascript | postgresql | react,music | metadata | big data | community,Data and Databases
Metasploit,ruby | postgresql | python | c | assembly,security | penetration testing | offensive security | exploitation,Security
Mixxx DJ Software,qt | audio | music | real-time | c++,beatdetection | metadata,Graphics / Video / Audio / Virtual Reality
mlpack,c++,machine learning | deep learning | algorithms | data science,Data and Databases
Mobile Robot Programming Toolkit (MRPT),c/c++ | cmake | python | webs,robot | ai | computer vision | real-time | slam,Science and Medicine
Moodle,php | javascript | ionic | sql | angular,education | web applications | e-learning | school system | learning management,Social / Communications
MovingBlocks,java | opengl | json | blender | github,game | voxel | minecraft | sandbox | modding,End User Applications
Mozilla,javascript | c++ | rust | python | css,open web | free software | web | browser,Web
MuseScore,qt | c++11 | cpp | midi,music | music notation | user interface | end user applications | sheet music,Graphics / Video / Audio / Virtual Reality
National Resource for Network Biology (NRNB),java | javascript | python | html | c/c++,network analysis | biology | data visualization | data modeling | web applications,Science and Medicine
Neovim,lua | c | vim | javascript | python,text editor | vim | cross platform | tools,Programming Languages and Development Tools
Netfilter project,linuxkernel | c,firewall | computer networking,Operating Systems
NumFOCUS,python | julia | r | javascript | c++,statistical computing | machine learning | high performance computing | big data | data visualization,Science and Medicine
omegaUp.com,php | mysql | python,cs education | education | web community,Web
Open Bioinformatics Foundation,python | javascript | d | php | c/c++,computational biology | bioinformatics |  web,Science and Medicine
Open Chemistry,python | c++ | javascript | java | opengl,science | data science | visualization | chemistry,Science and Medicine
Open Data Kit,android | java,mobile | global development | global health | social good,End User Applications
Open Food Facts,perl | mongodb | ios | android | machinelearning,computer vision | crowdsourcing | open data | food | health,Science and Medicine
Open Roberta Lab,java | javascript,education | programming | robotics,Web
Open Source Robotics Foundation,c/c++ | python | javascript | ros | gazebo,robotics,Programming Languages and Development Tools
Open States,python | django | react | graphql | postgresql,civic tech | scraping | web | government,Other
OpenAstronomy,python | julia | c++ | numba,visualization | astronomy | solar physics | orbital mechanics | high-energy astrophysics,Science and Medicine
OpenCensus,python | java | ruby | node | go,tracing | monitoring | c++ | php,Cloud
OpenMRS,java | spring | javascript | rest | mysql,open source | medical records | developing countries,Science and Medicine
OpenSIPS,c | python | mysql | scripting,voip | telephony | real-time-communications | sip,Social / Communications
OpenStreetMap,postgis | java | ruby | javascript | c/c++,gis | maps | crowdsourcing | geoinformatics,Data and Databases
openSUSE,rubyonrail | perl | ruby | html/javascript | c/c++, web | qa | packaging |  ui/ux,Operating Systems
OpenWISP,python | django | javascript | openwrt | linux,wifi | mesh-networks | wireless | networking | web development,Web
OpnTec,python | javascript | emberjs | cloud | android,open event | event solutions | web,Social / Communications
Oppia Foundation,angularjs | python | javascript | appengine | css,education | web | interactive | tools | community,Web
OSGeo,c/c++ | standards | python | sql | database,mapping | gis | geospatial | citizen science | open science,Other
OW2,java | perl | middleware | bpm | wiki,enterprise information systems | cloud | security | middleware,Other
OWASP Foundation,java | net | ruby | javascript | python,application security | cloud security | mobile security,Security
P2PSP.org,python | javascript | webrtc | sockets | c/c++,live streaming | real time | distributed networks | p2p | video,Graphics / Video / Audio / Virtual Reality
PEcAn Project,javascript | postgresql | php | c | r, scientific visualization |  data science |  climate science | ecosystem models | ecological forecasting,Science and Medicine
Performance Co-Pilot,python | redis | c | linux | javascript,high performance computing | visualization | web development | kernel | performance,Operating Systems
phpBB Forum Software,mysql | javascript | html5/css3 | php | symfony,social | communication | collaboration | forum | community,Social / Communications
phpMyAdmin,php | mysql | cakephp | jquery | javascript,mysql | developer | administrator | web applications | database,Data and Databases
Plone,python | javascript | html | css | reactjs,communications | collaboration | content management | web,Web
PMD,java | xml | javacc | antlr | xpath,code analysis | code quality | source code analyzer | linter,Programming Languages and Development Tools
Pocket Science Lab,android | java | firmware | c | cad,science | education | firmware | school apps,Science and Medicine
Polly Labs,c/c++ | llvm | polly | isl | ppcg,compilers | polyhedral model,Programming Languages and Development Tools
PostgreSQL,postgresql | sql | rdbms | ordbms | c,sql | database | big data,Data and Databases
Probot,javascript | node | github,bot | automation | development tools,Programming Languages and Development Tools
Public Lab,rubyonrails | javascript | node.js,science | environment | collaboration | community | hardware,Science and Medicine
Purr Data,javascript | html5/css3 | node.js | c/c++,real-time | audio | dsp | video | data vizualisation,Programming Languages and Development Tools
Python HYDRA,python | rdf | flask | hydra | json/json-ld,apis | database | functional-programming | semantic web | knowledge graph,Web
Python Software Foundation,python,programming languages | science,Science and Medicine
QEMU,c | kvm,emulation | hypervisor | kernel | lowlevel | cloud,Cloud
Quill.org,ruby | rails | react | javascript | postgresql,education | edtech | machine learning | nlp | web,Web
R project for statistical computing,r-project | c | c++ | javascript | fortran,data science | visualization | statistics | graphics | machine learning,Programming Languages and Development Tools
radare,c | cpp | rust | qt,reverse engineering,Security
ReactOS,c | c++,operating systems | drivers | desktop | kernel | windows,Operating Systems
Read the Docs,python | sphinx | django | javascript | elasticsearch,docs | web | communications,Programming Languages and Development Tools
Red Hen Lab,python | scikit-learn | tensorflow | singularity | syntaxnet,multimedia | audio processing | video processing | artificial intelligence | machine learning,Science and Medicine
RoboComp,c/c++ | python | cmake | openscenegraph | ice-zeroc,robotics | computer vision | simulation,Other
Rocket.Chat,javascript | ios | android | node | meteor.js,chat | collaboration | machine learning | chatops | bot,Social / Communications
Rspamd,c | machinelearning | javascript | lua,email | spam filtering | high performance computing,Security
RTEMS Project,c | python | posix | bsdunix, kernel |  embedded systems |  multicore | iot | real time,Operating Systems
Ruby,ruby,programming languages,Programming Languages and Development Tools
Ruby on Rails,ruby | rubyonrails | html,web | web development | web applications,Web
Ruby Science Foundation,ruby | c | c++ | cuda,visualization | compilers | parallel algorithms | data science | artificial intelligence,Science and Medicine
Sage Mathematical Software System,python3 | python | cython | c/c++,mathematics | toolbox,Science and Medicine
Scala,scala | jvm | llvm,compilers | programming-tools | functional-programming | programming-language,Programming Languages and Development Tools
Scilab,c | c++ | java | scilab,science | mathematics | numerical computation | graphics,End User Applications
ScummVM,c++ | opengl | sdl | assembly,games | game engines | software preservation,End User Applications
Seastar,cpp | framework | dpdk | tcp | linux,high performance | tcp | app development | network | framework,Programming Languages and Development Tools
