name,technologies,topics
Invesalius,python |  cython |  numpy |  dicom |  Vtk,ehealth |  medical imaging |  3D Reconstruction |  3d printing |  Neuronavigation
Ivy (lets-unify.ai),python |  cython |  tensorflow |  pytorch |  Jax,machine learning |  artificial intelligence |  computation graph |  code conversion |  unified API
Jenkins,javascript |  java |  go |  docker |  kubernetes,developer tools |  automation |  continuous integration |  continuous delivery |  devops
Jina AI,python |  machine learning |  microservices |  data science |  Multimodel AI,cloud native |  neural search |  generative AI |  Python MLOps Framework |  Mulitmodel Data
KDE Community,c++ |  qt |  qml |  data structures,education |  science |  applications |  desktop environment
Keploy,c |  golang |  node |  MERN |  epbf,API Testing |  No code platform |  Dev Tool |  Functional Testing |  Mock and Stubs Generation
Kiwix,python |  c++ |  nodejs |  kotlin |  vue.js,offline |  browser |  compression
Kotlin Foundation,gradle |  kotlin |  jvm |  Parsers & Compilers |  Multiplatform,compilers |  programming languages |  software development |  libraries |  Programming & Build Tools
Learning Equality,python |  javascript |  django |  vue.js,education |  distributed databases |  offline |  learning
KubeVirt,golang |  grpc,virtualization |  containers |  kubernetes
libcamera,c/c++ |  linux kernel |  qt5 |  gstreamer |  v4l2,camera |  image prcessing
libvirt,kvm |  hypervisor |  qemu |  lxc,virtualization |  library
libssh,c |  ci |  ssh,security |  cryptography
LibreHealth,python |  javascript |  android |  java |  dart/flutter,web |  deep learning |  hfoss |  radiology |  mobile apps
Liquid Galaxy project,linux |  android |  nodejs |  flutter |  Google Earth,visualization |  artificial intelligence |  networking |  maps |  ux
LibreOffice,python |  java |  c++,office suite |  desktop application |  end user application
LLVM Compiler Infrastructure,llvm |  c++ |  clang |  mlir,compilers |  development tools |  libraries
Machine Learning for Science (ML4SCI),python |  machine learning |  c++ |  data analysis |  artificial intelligence,machine learning |  science and medicine |  algorithms |  physics |  astronomy
Mantis,java |  Rxjava |  Akka |  Netty,cloud |  distributed systems |  Operational Analytics
Mayor's Office of New Urban Mechanics,python |  javascript |  ruby |  tensorflow,web |  machine learning |  gis |  civic tech |  analytics
MariaDB,python |  javascript |  c/c++ |  perl |  databases,Database Engines |  SQL Features
Mathesar,python |  postgresql |  javascript |  django |  svelte,databases |  web |  data |  nonprofit |  self-hosted
MDAnalysis,python |  cython |  c/c++,science |  computational-chemistry |  high-performance-computing |  molecular-simulation |  soft-matter-physics
MetaBrainz Foundation Inc,python |  machine learning |  perl |  postgres |  spark,machine learning |  open data |  music |  books |  music social network
MetaCall,python |  c++ |  rust |  nodejs |  docker,cloud |  polyglot |  faas |  languages |  ffi
Metasploit,c |  python |  postgresql |  ruby |  assembly,security |  penetration testing |  offensive security |  exploitation
Micro Electronics Research Lab - UITU,RISCV |  Processor |  Hardware |  systemonchip |  memory,iot |  embedded |  Processor |  System on Chip |  RISC-V
Mixxx,javascript |  c++ |  qt,music |  dj |  streaming
mlpack,c++ |  C++ template metaprogramming,machine learning |  embedded |  ai |  deep learning |  Neural networks
MIT App Inventor,javascript |  java |  gwt |  swift,education |  development tools |  android |  ios
MoveIt,python |  ros |  c++ |  rust,robotics |  motion planning |  trajectory generation |  kinematics
MZmine and MS-DIAL,java |  c# |  javafx,data science |  graphics |  cheminformatics |  mass spectrometry |  feature detection
MuseScore,c++ |  qt |  qml |  cmake,music |  midi |  musicxml |  sheet music |  music notation
National Resource for Network Biology (NRNB),python |  javascript |  java |  html |  r,web application |  data science |  graphics |  scientific computing |  network biology
omegaUp,python |  mysql |  php |  typescript |  vue.js,education |  web |  cloud |  edtech |  UX/UI
NumFOCUS,python |  c++ |  r |  julia,data science |  graphics |  scientific computing |  numerical computation
Open Genome Informatics,python |  react |  r-project |  graph |  angular,genomics |  bioinformatics |  biology |  data discovery
Open Technologies Alliance - GFOSS,javascript |  c/c++ |  nodejs |  python 3 |  Machine Learning (ML),web |  robotics |  open hardware |  c++ |  Artificial Inteligence
OpenAstronomy,c |  python |  julia,image processing |  astronomy |  solar physics |  high energy astrophysics
OpenStreetMap,javascript |  java |  c++,databases |  web |  routing |  ui |  geodata
Open Robotics,ros |  gazebo |  ignition |  Open-RMF,robotics |  simulation |  fleet management
Open Chemistry,python |  javascript |  opengl |  c++ |  c++14,data science |  graphics |  scientific visualization |  cheminformatics |  quantum chemistry
OpenCV,python |  c++ |  deep learning |  ai,robotics |  computer vision |  ai |  deep learning
OpenMRS,mysql |  javascript |  java |  reactjs |  fhir,platform |  frontend |  Electronic Medical Record System |  QA automation
Oppia Foundation,python |  google app engine |  angular |  typescript |  Apache Beam,education |  web |  ai |  nonprofit |  social impact
openSUSE Project,python |  c/c++ |  go |  ruby |  reactjs javascript,AIML |  operating system developer tools |  containers kubernetes |  Security Cryptography |  systems management
OpenVINO Toolkit,python |  c++ |  x86,ai |  deep learning |  neural network |  inference |  gen ai
OpenWISP,python |  javascript |  django |  lua |  openwrt,networking |  network management system |  wifi |  vpn |  sdn
Organic Maps,android |  java |  c++ |  ios |  OpenStreetMap,privacy |  maps |  navigation |  mobile |  offline
PEcAn Project,r |  docker |  api |  geospatial,data science |  ecosystem models |  scientific visualization |  climate science |  Ecological Forecasting | 
OWASP Foundation,python |  javascript |  java |  ZAP |  Juice Shop,web |  cloud |  application security |  cybersecurity |  DevSecOps
OSGeo (Open Source Geospatial Foundation),c |  python |  javascript |  java |  c++,open science |  gis |  citizen science |  geolocation |  mapping
Pharo Consortium,git |  smalltalk |  pharo |  spec |  SUnit,machine learning |  programming languages |  ai |  virtual machines |  Modelling
Plone Foundation,python |  javascript |  react,web |  cms
Pitivi,c |  python |  gtk |  gstreamer,video processing |  filmmaking |  video editing
Postman,javascript |  api |  openapi |  AsyncAPI |  JSON Schema,testing |  api |  automation |  documentation |  data
Processing Foundation,python |  javascript |  android |  java |  opengl,education |  web |  graphics |  creative coding |  design
Purr Data,c |  javascript |  html5 |  Emscripten,web |  graphics |  audio |  realtime
PostgreSQL,c |  python |  postgresql |  javascript |  go,web |  database |  ui |  sql |  Benchmark
Python Software Foundation,python |  javascript |  c++ |  SBOM,security |  visualization |  compiler |  modeling |  Backup
R project for statistical computing,c |  javascript |  c++ |  r-project |  fortran,visualization |  machine learning |  data science |  graphics |  statistics
QEMU,c |  python |  linux |  rust,systems programming |  kernel |  compiler |  emulator |  hypervisor
Qdrant,python |  javascript |  rust,databases |  machine learning |  Search Engines
Rizin,c |  python |  go |  c++ |  qt,reverse engineering |  computer security |  debugging |  emulation |  disassembly
RTEMS Project,python |  c/c++ |  assembly |  posix,kernel |  embedded |  real-time |  multicore |  rtos
Red Hen Lab,python |  machine learning |  nlp |  ai |  data science,data science |  ai |  language |  multimodal communication |  gesture
rocket.chat,javascript |  typescript |  node |  LLM |  generative ai,communications |  messaging |  group chat |  Team Collaboration |  Chat platform
Ruby,c |  java |  ruby on rails |  ruby |  rubygems,security |  web |  cloud |  server |  application
SageMath,python |  cython,mathematics |  education |  research
Scalable Parallel Computing Laboratory,python |  c++ |  mpi |  aws |  Serverless,programming languages |  high-performance computing |  parallel computing |  Serverless Computing |  faas
Scala Center,scala |  scala.js |  scala native,education |  compilers |  tooling
SCoRe Lab,python |  java |  go |  nodejs |  reactjs,security |  machine learning |  cloud |  ai
SPDX,python |  java |  json |  go |  rdf,compliance |  licensing |  data |  vulnerabilities
ScummVM,python |  opengl |  c++ |  assembly |  php,games |  game engines |  software preservation |  software archeology
Software and Computational Systems Lab at LMU Munich,python |  java,software verification |  benchmarking |  program analysis |  formal methods |  SAT & SMT solving
Society for Arts and Technology (SAT),python |  javascript |  opengl |  c++ |  supercollider,web |  graphics |  cloud |  multimedia |  accessibility
SQLancer,java |  sql,fuzzing |  Automated Testing |  Logic bugs |  Database systems
