name,technologies,topics,category
52°North Initiative for Geospatial Open Source Software GmbH,javascript | android | web | java,ogc | web processing | sensorweb | floating car data | earth observation,Science and Medicine
AboutCode.org,python | javascript | nlp | automaton | search,license-scan | oss licensing | package managers | copyright | license compliance,Other
AerospaceResearch.net,python | c/c++ | vhdl | boinc | java,cubesats | space applications | software defined radio | distributed computing | simulations,Science and Medicine
aimacode,python | python3 | java | javascript | machinelearning,machine learning | artificial intelligence |  education | open education,Programming Languages and Development Tools
Amahi,golang | rubyonrails | android | ios | containers,media server | storage server | streaming | backups | web apps,End User Applications
Android Graphics Tools Team,opengl | vulkan | spir-v | java | c/c++,2d/3d graphics | developer tools | debugging | testing | bug finding,Programming Languages and Development Tools
AOSSIE - Australian Open Source Software Innovation and Education,scala | javascript | isabelleproofassistant | android | ios,electronic voting | natural language processing | environment | machine learning | philosophy,End User Applications
Apertium,c++ | python | xml | bash,machine translation | natural language processing | less-resourced languages,Other
apertus° Association,fpga | embedded | vhdl | c | linux,image processing | camera | vision | fpga | embedded systems,Graphics / Video / Audio / Virtual Reality
API Client Tools at Google,openapi | grpc | protocolbuffers | rpc | rest,apis | automation | code generation | api description,Programming Languages and Development Tools
appleseedhq,c++11 | python | opengl,computer graphics | image synthesis | rendering | animation | simulation,Graphics / Video / Audio / Virtual Reality
Ardupilot.org,drones | python | linux | robotics | c/c++,vison | robotics | embedded systems | real-time os | drones,Other
Bazel,windows | c/c++ | java | bazel,build tools | developer tools,Programming Languages and Development Tools
BeagleBoard.org,raspberrypi | linuxkernel | javascript | python | hardwareacceleration,real time |  robotics | hardware | machine learning | privacy/security,Other
Berkman Klein Center for Internet and Society,rubyonrails | meteor.js | elasticsearch | python | java,web | research | education | internet freedom | internet censorship,Other
"Biomedical Informatics, Emory University",python | java | deeplearning | medicalimaging | tensorflow,data integration | distributed systems | cloud | precision medicine | science and medicine,Science and Medicine
Blender Foundation,c | c++ | python | opengl,3d | modeling | rendering | animation | vfx,Graphics / Video / Audio / Virtual Reality
Boost C++,c++librariesc++11c++14c++17c++20,c++ libraries c++ standard,Programming Languages and Development Tools
BRL-CAD,c/c++ | opengl | opencl | python | javascript,ray tracing | solid geometry | 2d/3d graphics | cad/cam/cae | performance,Graphics / Video / Audio / Virtual Reality
Buildroot,gnumake | kconfig | python | shell,embedded systems | linux | build tools | compilation,Programming Languages and Development Tools
Canadian Center for Computational Genomics,python | r-project | javascript | react | nodejs,bioinformatics |  science |  visualization |  statistics |  web,Science and Medicine
Catrobat,java | android | swift | symfony,visual programming | app development | gaming | web,Programming Languages and Development Tools
cBioPortal for Cancer Genomics,java | javascript | reactjs | database | webapps,genomics | bioinformatics | big data | data visualization | cancer research,Data and Databases
CBMI@UTHSC,reactjs | python | flask | javascript | tensorflow,machine learning | deep learning | sepsis prediction | sepsis detection |  web applications,Science and Medicine
CCExtractor Development,ai | c | python | cloud | javascript,vision | ai | subtitles | accessibility | tv,Graphics / Video / Audio / Virtual Reality
Center for Research in Open Source Software at UC Santa Cruz,python | javascript | c/c++ | verilog,cloud databases | reproducibility | ceph | architecture | generative text,Other
CERN-HSF,c/c++ | python | dataanalysis | parallelization | machinelearning,physics | particle physics | high-energy physics | big data | machine learning,Science and Medicine
CGAL project,c++ | git | swig | python,computational geometry | geometry processing | mesh processing | arrangement | point set processing,Science and Medicine
CHAOSS,python | javascript | jupyter | mysql | elasicsearch,community | health | sustainability | metrics,Social / Communications
Chapel,chapel | python | highperformancecomputing | c | c++,programming languages | compilers | high performance computing | distributed computing | parallel computing,Programming Languages and Development Tools
