name,technologies,topics,category
52°North Initiative for Geospatial Open Source Software GmbH,webservices | ogcstandards | java | javascript | web,geoinformatics | sensor web | web-based geoprocessing | spatial data infrastructures | spatial information,Other
AboutCode,python | c/c++ | javascript | shellscript | staticanalysis,free and open source software  license and origin | package and dependencies licensing and origin | package vulnerabilities and security | code scan and matching | code analysis and spdx,Programming Languages and Development Tools
AerospaceResearch.net,python | c/c++ | vhdl | boinc,cubesats | space applications | software defined radio | distributed computing | simulations,Science and Medicine
aimacode,python | javascript | machinelearning | artificialintelligence | java,artificial intelligence | machine learning | education,Programming Languages and Development Tools
Amahi,android | golang | restfulapi | streaming | rubyonrails,home servers | networking | storage | webapps | mobile streaming,Operating Systems
AOSSIE - Australian Open Source Software Innovation and Education,scala | javascript/html/css | automatedreasoning | android/ios | xcode,logic | electronic voting | natural language processing | philosophy | environment,Science and Medicine
Apache Software Foundation,java | c | erlang,cloud | libraries | big data,Other
Apertium,c++ | xml | python | nlp,natural language processing | machine translation | lesser-resourced languages,Other
Apertus Association,fpga | vhdl | c | linux | c++,video | camera | vision | real time | photography,Graphics / Video / Audio / Virtual Reality
appleseedhq,c++ | python | qt, computer graphics | 3d | rendering | animation | vfx,Graphics / Video / Audio / Virtual Reality
ArduPilot,c++ | python | embedded | rtos | ros,autopilot | robotics | uav | drones | rovers,Other
Babel,javascript | babel | nodejs,compilers | ast | minifier | tc39,Programming Languages and Development Tools
Bazel,java | linux | go,development tools | build systems,Programming Languages and Development Tools
BeagleBoard.org Foundation,javascript | linux | beaglebone | python | c,real time | robotics | iot | physical computing | coprocessing,Programming Languages and Development Tools
Beam Community,erlang | elixir | lisp | xmpp,realtime | communication system | database | clustering,Programming Languages and Development Tools
BeeWare Project,python | mobile | ios | android,ui | ide | cross-platform,Programming Languages and Development Tools
Berkman Klein Center for Internet and Society at Harvard University,rubyonrails | meteor.js | d3 | elasticsearch | javascript,digital rights | internet access | security and privacy | law |  web,Web
Blender Foundation,opengl | opencl | python | c | c++,3d | animation | graphics | modeling | vfx,Graphics / Video / Audio / Virtual Reality
Boost C++ Libraries,c++ | c++11 | c++14 | boost,library,Programming Languages and Development Tools
Boston University / XIA,xia | linuxkernel | c | advanceddatastructures,computer networking |  future internet architecture |  research,Cloud
BRL-CAD,c/c++ | opencl | python | javascript | qt,cad | geometry | 3d | ray tracing | visualization,Graphics / Video / Audio / Virtual Reality
Cadasta,python | django | javasc | javascipt,web | land rights | mapping | geo | geospatial,End User Applications
Catrobat,android | java | html5 | ios | web,education | programming tools | app development | web applications | scratch,Programming Languages and Development Tools
cBioPortal for Cancer Genomics,javascript | java | web | reactjs | webservices,cancer | bioinformatics | big data | genomics | biology,Science and Medicine
CCExtractor Development,c | python | raspberrypi | linux | visualstudio,subtitles | television | movies | media,Graphics / Video / Audio / Virtual Reality
Ceph,c++ | python | object-storage,cloud storage | storage,Data and Databases
CERN-HSF,python | c/c++ | machinelearning | dataanalysis | parallelalgorithms,particle physics | high-energy physics | machine learning | physics | big data,Science and Medicine
Chapel,chapel | python | highperformancecomputing | c | c++,programming languages | compilers | high performance computing | distributed computing | parallel computing,Programming Languages and Development Tools
Checker Framework,java,programmer productivity | software engineering | verification,Programming Languages and Development Tools
