name,technologies,topics,category
52° North GmbH,java | android | javascript | python | react,web services | floating car data | ogc standards | trajectory analytics,Science and Medicine
AboutCode.org,python | c/c++ | rust | javascript | postgresql,dependencies | license-scan | application security | software analysis | machine learning,Programming Languages and Development Tools
Academy Software Foundation (ASWF),c/c++ | python,2d/3d graphics | cloud computing | file formats | color management | filmmaking,Graphics / Video / Audio / Virtual Reality
Accord Project,javascript | react | coq | ocaml | compiler,smart contracts | legal | blockchain | compilers | ai,Programming Languages and Development Tools
AerospaceResearch.net,python | vhdl | raspberrypi | sqlite | c++,cubesats | space applications | software defined radio | distributed computing | simulations,Science and Medicine
afl++,fuzzing | c/c++ | qemu | llvm | sanitizers,bug finding | software testing | fuzzing,Security
Amahi,rubyonrails | javascript | android | golang | swift,operating systems |  networking |  web servers | streaming | mobile-apps,Operating Systems
Android Graphics Tools Team,vulkan | opengl | c/c++ | java | python3,developer tools | 2d/3d graphics | debugging | profiling | bug finding,Programming Languages and Development Tools
AnitaB.org Open Source,ios | android | python | javascript,mobile |  web | mobile programming | web programming,Other
AOSSIE,javascript | swift | kotlin | python,electronic voting | natural language processing | machine learning | environment | social science,End User Applications
Apertium,c++ | bash | python | xml,machine translation | natural language processing | less-resourced languages,Other
apertus° Association,fpga | vhdl | c/c++ | linux | embedded,camera | vision | computational photography | image processing | digital imaging,Graphics / Video / Audio / Virtual Reality
appleseed,c++11 | python | opengl,computer graphics | image synthesis | rendering | animation | simulation,Graphics / Video / Audio / Virtual Reality
Arduino,arduino | golang | c/c++,electronics |  robotics | interactivity,Programming Languages and Development Tools
ArduPilot,drones | python | robotics | linux | c/c++,vision | robotics | embedded systems | real-time os | drones,Other
BeagleBoard.org,linux | tensorflow | python | javascript | opencv,robotics | iot | teaching | real-time | embedded,Programming Languages and Development Tools
BioGears,c++11 | c/c++ | python | cmake,physiology | pharmacological modeling | computational biology | mathematical software,Science and Medicine
Blender Foundation,c | c++ | python | opengl | vulkan,3d | graphics | virtual reality | animation | artist tools,Graphics / Video / Audio / Virtual Reality
Boost C++,c++17 | c++11 | c++,programming libraries | c++ | peer-reviewed libraries | c++ standard,Programming Languages and Development Tools
BRL-CAD,opencl | c/c++ | python | tcl/tk | opengl,data visualization | 3d cad geometry | ray tracing | solid modeling | real-time computer graphics,Graphics / Video / Audio / Virtual Reality
