name
52°North Initiative for Geospatial Open Source Software GmbH
abiword
AerospaceResearch.Net
Ankur India
Apache Software Foundation
Apertium
Battle for Wesnoth
BeagleBoard.org
BEAM Community
Benetech
Bioconductor open source software for bioinformatics
Blender Foundation
"Bloomington, IN, USA"
Boost C++ Libraries
BRL-CAD
Buildbot
Catroid Project
CERN SFT
Cesium community
Chromium
Clojure
Code for America
Computational Science and Engineering at TU Wien
coreboot
Creative Commons
Crowdsourcing Biology at the Scripps Research Institute
Crypto Stick
Crystal Space
DBpedia & DBpedia Spotlight
Debian Project
"Dept. of Biomedical Informatics, Emory University"
Distributed and Unified Numerics Environment (DUNE)
Django Software Foundation
DragonFly BSD
Drizzle Database
ESUG (European Smalltalk User Group)
FreeBSD
Freenet Project Inc
Funf.org
Ganeti
GCC - GNU Compiler Collection
Genome Informatics
Gentoo Foundation
Gephi Consortium
GNOME
GNSS-SDR
GNU Image Manipulation Program
GNU Project
GNU Radio
Google Open Source Programs Office
haskell.org
Health Information Systems Programme
illumos
Inclusive Design Institute
Inkscape
International Neuroinformatics Coordinating Facility
Iowa Flood Center
Italian Mars Society 
JBoss Community
Joomla! (Open Source Matters)
JRuby
KDE
LibreOffice
Linux Trace Toolkit next generation project (LTTng)
Liquid Galaxy Project
LLVM Compiler Infrastructure
lmonade: scientific software distribution
LyX – The Document Processor
MacPorts
MariaDB
Maryland Institute for Technology in the Humanities
Measurement Lab (M-Lab)
Melange
Mercurial
MetaBrainz Foundation Inc.
Mifos (The Community for Open Source Microfinance)
Mixxx DJ Software
mlpack: scalable C++ machine learning library
MLton.org
MoinMoin Wiki
Monkey Project
Mono Project
Moodle
Mozilla
MuseScore
National Evolutionary Synthesis Center (NESCent)
National Library of the Czech Republic
National Resource for Network Biology (NRNB)
Netfilter Project
Network Time Foundation
Nmap Security Scanner
OGDF - Open Graph Drawing Framework
OGRE (Object-Oriented Graphics Rendering Engine) 
Open Lighting Project
Open Networking Lab
Open Source Computer Vision Library (OpenCV)
Open Source Robotics Foundation
OpenMRS
OpenNMS
openSUSE
Openwall
Oregon State University Open Source Lab (OSUOSL)
OSGeo - Open Source Geospatial Foundation 
OWASP
PaGMO / PyGMO
Parrot Foundation
phpBB Forum Software
phpMyAdmin
"Pidgin, Finch, and libpurple"
PiTiVi video editor
Plan 9 from Bell Labs
PLASMA @ UMass
Plone Foundation
Portland State University
PostgreSQL Project
PRISM Model Checker
Processing
Public Laboratory for Open Technology and Science
PulseAudio
Python Software Foundation
QEMU.org
Quagga @ OpenSourceRouting / ISC
R Project for statistical Computing
Raxa
RoboComp
RouteFlow
RTEMS Project
Ruby on Rails
Ruby Science Foundation
Sage Mathematical Software System
Sahana Software Foundation
Samba
Scaffold Hunter
Scala Team
ScummVM
Shogun Machine Learning Toolbox
Sigmah
Simple DirectMedia Layer
SimpleCV
Steel Bank Common Lisp
Sugar Labs
SuperTuxKart
Swathanthra Malayalam Computing
SymPy
"Systers, an Anita Borg Institute Community"
The Centre for Computational Medicine
The CGAL Project
The Concord Consortium
The Eclipse Foundation
The Fedora Project
The Honeynet Project
The Java Pathfinder Team
The Linux Foundation
The NetBSD Foundation
The ns-3 Network Simulator Project
The Open Motion Planning Library
The Privly Foundation
The Wiselib
ThinkUp
TimVideos.us
Tor
Tux4Kids
twitter
TYPO3 Association
Wikimedia
Wine Project
Wireshark
WordPress
World Wide Web Consortium (W3C)
WorldForge
X.Org Foundation
XBMC
